policy,exposure,num_claims,amt_claims,f_primary_age_tier,f_primary_gender,f_marital,f_residence_location,f_fire_alarm_type,f_mile_fire_station,f_aoi_tier
A07003,0.78,0,0.00,21 - 27,Male,Un-Married,Urban,Standalone,< 1 mile,< 100K
A07004,1,0,0.00,38 - 60,Female,Married,Suburban,None,1 - 5 miles,601K - 1M
Z07005,1,0,0.00,28 - 37,Female,Not Married,Suburban,None,< 1 mile,351K - 600K
Z07006,1,0,0.00,> 60,Female,Married,Urban,Alarm Service,< 1 mile,100K - 350K
P07007,1,0,0.00,< 21,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A07008,1,1,"1,467.28",21 - 27,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
G07009,1,1,"1,329.28",28 - 37,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
G07010,1,0,0.00,21 - 27,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
P07011,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
G07012,1,0,0.00,21 - 27,Male,Not Married,Suburban,None,< 1 mile,100K - 350K
Z07013,1,1,362.28,38 - 60,Female,Not Married,Suburban,Standalone,< 1 mile,> 1M
Z07014,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Standalone,6 - 10 miles,100K - 350K
A07015,1,0,0.00,38 - 60,Male,Married,Urban,Alarm Service,< 1 mile,100K - 350K
Z07016,0.67,0,0.00,38 - 60,Male,Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z07017,1,1,916.73,21 - 27,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
A07018,0.3,1,"1,116.53",38 - 60,Female,Not Married,Suburban,None,6 - 10 miles,601K - 1M
P07019,1,0,0.00,38 - 60,Female,Married,Urban,None,< 1 mile,< 100K
A07020,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Standalone,< 1 mile,< 100K
G07021,1,0,0.00,38 - 60,Male,Married,Suburban,None,< 1 mile,601K - 1M
A07022,1,0,0.00,28 - 37,Male,Not Married,Urban,Standalone,< 1 mile,< 100K
Z07023,1,0,0.00,< 21,Male,Not Married,Urban,Alarm Service,< 1 mile,601K - 1M
Z07024,1,2,"2,001.63",28 - 37,Male,Married,Suburban,None,< 1 mile,351K - 600K
Z07025,1,0,0.00,21 - 27,Female,Not Married,Urban,None,< 1 mile,100K - 350K
A07026,0.42,3,"8,721.40",21 - 27,Female,Un-Married,Suburban,Standalone,1 - 5 miles,100K - 350K
Z07027,1,0,0.00,28 - 37,Male,Not Married,Suburban,Standalone,< 1 mile,601K - 1M
G07028,1,0,0.00,38 - 60,Female,Not Married,Suburban,None,< 1 mile,351K - 600K
P07029,1,0,0.00,21 - 27,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
Z07030,1,0,0.00,38 - 60,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
A07031,1,1,290.97,28 - 37,Male,Not Married,Urban,None,< 1 mile,< 100K
P07032,1,4,"4,458.41",21 - 27,Female,Not Married,Urban,None,< 1 mile,100K - 350K
G07033,1,1,"3,167.93",28 - 37,Female,Un-Married,Urban,Standalone,1 - 5 miles,100K - 350K
A07034,1,1,841.88,28 - 37,Male,Married,Urban,Standalone,6 - 10 miles,100K - 350K
G07035,1,1,647.95,> 60,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
P07036,1,2,"1,646.43",> 60,Female,Married,Suburban,None,1 - 5 miles,351K - 600K
A07037,1,2,"5,211.09",38 - 60,Female,Not Married,Suburban,None,< 1 mile,351K - 600K
P07038,1,0,0.00,28 - 37,Female,Married,Urban,Standalone,6 - 10 miles,351K - 600K
P07039,1,1,728.45,28 - 37,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
P07040,1,1,180.69,28 - 37,Male,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G07041,0.26,0,0.00,28 - 37,Female,Un-Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
P07042,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,> 1M
A07043,1,0,0.00,28 - 37,Female,Married,Urban,Alarm Service,< 1 mile,601K - 1M
G07044,1,0,0.00,< 21,Male,Married,Suburban,None,1 - 5 miles,601K - 1M
A07045,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P07046,1,1,"1,571.59",> 60,Male,Un-Married,Urban,Alarm Service,< 1 mile,< 100K
Z07047,0.31,0,0.00,38 - 60,Male,Married,Urban,None,< 1 mile,351K - 600K
P07048,1,1,574.27,28 - 37,Female,Not Married,Urban,Alarm Service,< 1 mile,> 1M
A07049,1,1,575.13,38 - 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
P07050,0.46,3,"8,958.74",> 60,Female,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
A07051,1,0,0.00,28 - 37,Female,Not Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z07052,1,1,410.16,> 60,Male,Married,Urban,None,< 1 mile,100K - 350K
Z07053,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,100K - 350K
A07054,0.47,0,0.00,< 21,Male,Married,Urban,Standalone,< 1 mile,< 100K
Z07055,1,1,862.79,> 60,Male,Not Married,Urban,Standalone,< 1 mile,> 1M
A07056,1,1,429.04,> 60,Male,Married,Suburban,None,1 - 5 miles,< 100K
P07057,0.87,1,720.01,< 21,Female,Married,Urban,Alarm Service,1 - 5 miles,601K - 1M
A07058,1,1,"1,641.80",> 60,Female,Un-Married,Rural,Alarm Service,6 - 10 miles,351K - 600K
A07059,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Standalone,1 - 5 miles,< 100K
Z07060,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,> 1M
P07061,1,0,0.00,> 60,Female,Married,Urban,None,< 1 mile,351K - 600K
P07062,1,0,0.00,28 - 37,Male,Un-Married,Urban,Standalone,1 - 5 miles,100K - 350K
Z07063,0.88,0,0.00,28 - 37,Female,Not Married,Suburban,Alarm Service,< 1 mile,601K - 1M
P07064,1,0,0.00,28 - 37,Female,Married,Urban,None,< 1 mile,< 100K
A07065,1,3,"3,034.77",28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
Z07066,1,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,601K - 1M
P07067,0.31,0,0.00,21 - 27,Female,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P07068,0.51,1,"1,178.06",21 - 27,Female,Married,Suburban,Alarm Service,< 1 mile,601K - 1M
P07069,1,0,0.00,28 - 37,Male,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
G07070,1,1,434.66,21 - 27,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
G07071,1,1,"3,906.14",< 21,Female,Married,Rural,Alarm Service,6 - 10 miles,100K - 350K
Z07072,1,0,0.00,28 - 37,Male,Not Married,Urban,Standalone,< 1 mile,< 100K
Z07073,1,0,0.00,38 - 60,Female,Un-Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
Z07074,1,1,554.43,38 - 60,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
A07075,0.32,0,0.00,38 - 60,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
Z07076,1,1,909.77,28 - 37,Male,Married,Rural,Alarm Service,1 - 5 miles,351K - 600K
G07077,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,100K - 350K
G07078,1,2,833.36,21 - 27,Female,Married,Suburban,Alarm Service,< 1 mile,< 100K
A07079,1,2,"3,115.71",21 - 27,Female,Married,Urban,Standalone,< 1 mile,601K - 1M
Z07080,0.89,2,"2,731.27",28 - 37,Male,Married,Suburban,None,< 1 mile,601K - 1M
Z07081,1,1,"1,103.70",38 - 60,Male,Married,Urban,Standalone,1 - 5 miles,< 100K
P07082,0.18,0,0.00,38 - 60,Male,Not Married,Suburban,Standalone,< 1 mile,601K - 1M
G07083,1,0,0.00,< 21,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
G07084,1,1,"1,641.63",28 - 37,Female,Un-Married,Suburban,Standalone,1 - 5 miles,< 100K
Z07085,1,1,"1,477.59",38 - 60,Male,Not Married,Suburban,Standalone,< 1 mile,100K - 350K
P07086,1,0,0.00,< 21,Male,Not Married,Urban,None,< 1 mile,351K - 600K
P07087,1,0,0.00,38 - 60,Male,Not Married,Suburban,None,1 - 5 miles,351K - 600K
G07088,1,1,627.77,28 - 37,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
Z07089,1,1,"1,530.75",28 - 37,Female,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
A07090,1,0,0.00,21 - 27,Male,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
A07091,1,0,0.00,28 - 37,Male,Married,Rural,Alarm Service,> 10 miles,601K - 1M
Z07092,0.19,0,0.00,21 - 27,Male,Not Married,Urban,Standalone,< 1 mile,351K - 600K
A07093,0.51,1,"2,221.72",21 - 27,Male,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
P07094,0.23,0,0.00,38 - 60,Male,Not Married,Urban,Alarm Service,< 1 mile,100K - 350K
A07095,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G07096,1,0,0.00,21 - 27,Male,Married,Rural,None,> 10 miles,351K - 600K
Z07097,0.3,1,676.21,21 - 27,Male,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
G07098,1,2,"3,049.16",38 - 60,Male,Not Married,Rural,Standalone,6 - 10 miles,351K - 600K
Z07099,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,1 - 5 miles,351K - 600K
Z07100,1,1,"1,651.68",38 - 60,Female,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
A07101,0.37,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,> 1M
P07102,1,1,517.16,38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,< 100K
G07103,1,1,770.40,28 - 37,Female,Un-Married,Urban,Standalone,< 1 mile,601K - 1M
P07104,1,0,0.00,> 60,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P07105,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A07106,1,0,0.00,28 - 37,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z07107,0.26,2,"2,280.71",38 - 60,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
Z07108,1,0,0.00,28 - 37,Female,Un-Married,Suburban,None,1 - 5 miles,< 100K
G07109,1,0,0.00,28 - 37,Female,Married,Suburban,None,1 - 5 miles,100K - 350K
G07110,1,1,"1,733.15",28 - 37,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
G07111,1,2,"1,874.49",> 60,Female,Married,Urban,Standalone,< 1 mile,100K - 350K
G07112,1,1,32.30,21 - 27,Female,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
G07113,1,0,0.00,28 - 37,Female,Not Married,Suburban,None,< 1 mile,351K - 600K
P07114,1,0,0.00,28 - 37,Female,Un-Married,Rural,Standalone,6 - 10 miles,100K - 350K
Z07115,0.88,0,0.00,21 - 27,Female,Un-Married,Urban,Standalone,< 1 mile,100K - 350K
A07116,1,1,314.96,28 - 37,Male,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G07117,0.61,0,0.00,< 21,Male,Un-Married,Suburban,Standalone,< 1 mile,601K - 1M
P07118,1,2,"3,242.80",38 - 60,Male,Married,Suburban,None,< 1 mile,601K - 1M
Z07119,1,1,326.78,38 - 60,Female,Not Married,Rural,Standalone,> 10 miles,< 100K
G07120,1,1,551.92,21 - 27,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
P07121,0.41,2,"4,141.19",21 - 27,Female,Not Married,Urban,Standalone,< 1 mile,< 100K
P07122,1,0,0.00,38 - 60,Male,Married,Suburban,Alarm Service,< 1 mile,601K - 1M
P07123,1,1,441.73,< 21,Female,Married,Suburban,Standalone,1 - 5 miles,100K - 350K
Z07124,1,0,0.00,28 - 37,Male,Un-Married,Urban,Standalone,1 - 5 miles,< 100K
A07125,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
Z07126,0.95,1,478.66,28 - 37,Male,Un-Married,Suburban,Standalone,1 - 5 miles,351K - 600K
Z07127,1,0,0.00,28 - 37,Female,Not Married,Suburban,Standalone,1 - 5 miles,100K - 350K
Z07128,1,0,0.00,28 - 37,Male,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P07129,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,> 1M
Z07130,1,1,974.37,28 - 37,Female,Married,Urban,None,< 1 mile,601K - 1M
Z07131,0.02,1,374.40,> 60,Male,Married,Rural,Alarm Service,> 10 miles,< 100K
A07132,1,2,"1,587.79",28 - 37,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
P07133,1,1,"2,033.04",28 - 37,Male,Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
Z07134,1,1,"1,086.38",< 21,Female,Married,Suburban,None,< 1 mile,100K - 350K
Z07135,1,1,"1,073.37",28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P07136,1,0,0.00,28 - 37,Male,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
Z07137,0.31,1,"2,013.41",21 - 27,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
P07138,1,0,0.00,38 - 60,Male,Married,Urban,Alarm Service,< 1 mile,100K - 350K
Z07139,1,0,0.00,38 - 60,Female,Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z07140,1,0,0.00,> 60,Female,Married,Suburban,Alarm Service,< 1 mile,< 100K
P07141,1,1,278.67,38 - 60,Male,Un-Married,Urban,Standalone,< 1 mile,100K - 350K
Z07142,1,1,133.37,38 - 60,Female,Un-Married,Suburban,None,1 - 5 miles,> 1M
Z07143,0.86,0,0.00,> 60,Female,Married,Urban,Alarm Service,< 1 mile,351K - 600K
P07144,1,1,"1,317.14",38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P07145,1,0,0.00,38 - 60,Male,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
G07146,1,1,"1,277.53",21 - 27,Female,Married,Rural,Alarm Service,6 - 10 miles,601K - 1M
G07147,1,2,"1,926.10",21 - 27,Male,Married,Urban,Standalone,< 1 mile,> 1M
Z07148,0.75,0,0.00,38 - 60,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A07149,1,2,"3,540.95",< 21,Male,Married,Suburban,None,< 1 mile,351K - 600K
G07150,1,1,"1,065.96",21 - 27,Female,Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
A07151,1,1,"3,010.58",< 21,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
P07152,0.96,0,0.00,38 - 60,Male,Not Married,Rural,Alarm Service,6 - 10 miles,100K - 350K
G07153,1,1,"1,106.43",28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,< 100K
G07154,1,0,0.00,28 - 37,Male,Not Married,Urban,None,< 1 mile,351K - 600K
Z07155,0.5,1,237.60,21 - 27,Male,Not Married,Urban,Alarm Service,< 1 mile,< 100K
G07156,1,0,0.00,21 - 27,Female,Married,Suburban,Standalone,< 1 mile,100K - 350K
Z07157,1,2,"3,585.14",21 - 27,Female,Married,Urban,Standalone,1 - 5 miles,100K - 350K
Z07158,1,0,0.00,21 - 27,Male,Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
P07159,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z07160,0.88,0,0.00,28 - 37,Male,Not Married,Urban,Standalone,< 1 mile,100K - 350K
A07161,1,0,0.00,28 - 37,Female,Married,Urban,Standalone,< 1 mile,100K - 350K
P07162,1,0,0.00,38 - 60,Female,Un-Married,Rural,Alarm Service,1 - 5 miles,351K - 600K
Z07163,1,0,0.00,28 - 37,Male,Married,Suburban,None,< 1 mile,100K - 350K
Z07164,1,0,0.00,28 - 37,Female,Married,Rural,None,> 10 miles,351K - 600K
G07165,0.99,0,0.00,< 21,Male,Married,Suburban,Alarm Service,< 1 mile,100K - 350K
A07166,1,0,0.00,28 - 37,Female,Married,Rural,None,> 10 miles,351K - 600K
A07167,1,2,"3,062.45",28 - 37,Male,Un-Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
G07168,1,0,0.00,38 - 60,Female,Un-Married,Suburban,None,1 - 5 miles,100K - 350K
A07169,0.94,0,0.00,38 - 60,Female,Married,Suburban,Alarm Service,1 - 5 miles,< 100K
Z07170,0.9,1,"1,040.40",> 60,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
Z07171,1,0,0.00,38 - 60,Male,Not Married,Suburban,Alarm Service,< 1 mile,< 100K
A07172,1,0,0.00,> 60,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
P07173,0.95,0,0.00,28 - 37,Male,Married,Suburban,Standalone,1 - 5 miles,351K - 600K
G07174,0.79,2,"1,049.56",28 - 37,Male,Married,Urban,None,1 - 5 miles,< 100K
Z07175,0.11,1,"1,238.95",> 60,Female,Un-Married,Suburban,None,< 1 mile,< 100K
P07176,1,0,0.00,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z07177,1,0,0.00,21 - 27,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
A07178,0.35,1,297.22,28 - 37,Female,Married,Rural,Standalone,6 - 10 miles,100K - 350K
G07179,1,2,"2,456.02",28 - 37,Female,Un-Married,Rural,Standalone,1 - 5 miles,< 100K
A07180,1,0,0.00,38 - 60,Male,Un-Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
P07181,1,1,164.64,28 - 37,Female,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
P07182,1,0,0.00,28 - 37,Male,Un-Married,Suburban,Alarm Service,1 - 5 miles,> 1M
A07183,1,0,0.00,> 60,Female,Un-Married,Rural,Standalone,1 - 5 miles,< 100K
P07184,1,0,0.00,< 21,Male,Un-Married,Urban,Standalone,< 1 mile,< 100K
G07185,0.97,1,281.28,> 60,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z07186,1,1,456.76,21 - 27,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
P07187,1,1,"3,205.06",28 - 37,Male,Un-Married,Urban,None,< 1 mile,351K - 600K
G07188,1,0,0.00,38 - 60,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
Z07189,1,1,440.69,21 - 27,Male,Married,Suburban,Standalone,1 - 5 miles,< 100K
A07190,1,0,0.00,38 - 60,Female,Married,Suburban,Standalone,< 1 mile,351K - 600K
P07191,0.69,0,0.00,< 21,Female,Married,Urban,None,< 1 mile,601K - 1M
Z07192,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Standalone,< 1 mile,> 1M
G07193,0.07,0,0.00,< 21,Male,Un-Married,Urban,Standalone,1 - 5 miles,100K - 350K
G07194,0.77,1,297.81,28 - 37,Female,Married,Urban,Standalone,1 - 5 miles,351K - 600K
P07195,0.41,0,0.00,21 - 27,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
G07196,1,1,414.58,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,100K - 350K
Z07197,1,2,"2,171.46",38 - 60,Male,Not Married,Rural,Standalone,6 - 10 miles,100K - 350K
G07198,1,0,0.00,38 - 60,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
Z07199,1,1,227.84,28 - 37,Female,Un-Married,Suburban,Alarm Service,< 1 mile,601K - 1M
Z07200,1,3,"7,535.96",21 - 27,Female,Not Married,Rural,Standalone,6 - 10 miles,> 1M
Z07201,0.25,0,0.00,28 - 37,Male,Not Married,Suburban,Standalone,< 1 mile,351K - 600K
Z07202,1,0,0.00,28 - 37,Female,Un-Married,Urban,Alarm Service,1 - 5 miles,601K - 1M
A07203,0.5,1,"6,026.05",21 - 27,Female,Married,Urban,Standalone,< 1 mile,601K - 1M
P07204,0.09,3,"5,079.18",21 - 27,Male,Married,Urban,Standalone,< 1 mile,601K - 1M
Z07205,1,0,0.00,38 - 60,Male,Married,Urban,None,< 1 mile,351K - 600K
A07206,0.94,0,0.00,> 60,Female,Not Married,Urban,Standalone,1 - 5 miles,< 100K
A07207,0.37,0,0.00,38 - 60,Male,Un-Married,Rural,None,6 - 10 miles,< 100K
Z07208,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
G07209,1,1,763.96,> 60,Male,Un-Married,Urban,None,< 1 mile,351K - 600K
A07210,1,2,"2,786.57",38 - 60,Female,Married,Suburban,Standalone,1 - 5 miles,601K - 1M
P07211,0.76,0,0.00,28 - 37,Female,Married,Urban,Standalone,< 1 mile,< 100K
P07212,1,1,879.59,< 21,Female,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
P07213,1,0,0.00,< 21,Male,Married,Urban,Alarm Service,6 - 10 miles,< 100K
G07214,0.07,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,1 - 5 miles,100K - 350K
Z07215,1,0,0.00,38 - 60,Male,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
Z07216,0.24,4,"6,470.01",28 - 37,Female,Not Married,Urban,Standalone,1 - 5 miles,601K - 1M
P07217,1,0,0.00,38 - 60,Male,Un-Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A07218,1,0,0.00,> 60,Female,Un-Married,Rural,Standalone,6 - 10 miles,351K - 600K
G07219,1,2,"1,156.40",28 - 37,Female,Not Married,Suburban,Standalone,< 1 mile,100K - 350K
A07220,1,2,"2,260.58",21 - 27,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
Z07221,1,0,0.00,28 - 37,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
Z07222,1,1,137.52,38 - 60,Female,Married,Suburban,None,< 1 mile,100K - 350K
G07223,1,0,0.00,38 - 60,Female,Not Married,Urban,Standalone,< 1 mile,351K - 600K
A07224,1,1,"1,979.16",28 - 37,Female,Not Married,Rural,Standalone,> 10 miles,601K - 1M
A07225,1,0,0.00,38 - 60,Male,Married,Urban,Standalone,1 - 5 miles,< 100K
Z07226,1,0,0.00,28 - 37,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
P07227,0.04,0,0.00,38 - 60,Male,Not Married,Urban,Standalone,< 1 mile,100K - 350K
P07228,1,0,0.00,28 - 37,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P07229,0.66,1,"1,795.51",28 - 37,Male,Married,Urban,None,< 1 mile,351K - 600K
G07230,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,601K - 1M
Z07231,1,1,366.69,28 - 37,Male,Un-Married,Urban,Alarm Service,< 1 mile,100K - 350K
A07232,1,1,726.37,< 21,Male,Un-Married,Suburban,None,< 1 mile,351K - 600K
P07233,1,0,0.00,21 - 27,Female,Married,Suburban,Alarm Service,< 1 mile,< 100K
G07234,1,0,0.00,28 - 37,Male,Un-Married,Urban,Standalone,< 1 mile,< 100K
Z07235,1,0,0.00,21 - 27,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P07236,1,0,0.00,38 - 60,Male,Un-Married,Rural,Standalone,> 10 miles,351K - 600K
A07237,1,0,0.00,< 21,Male,Un-Married,Urban,Alarm Service,< 1 mile,351K - 600K
Z07238,1,2,"2,293.55",< 21,Male,Un-Married,Suburban,Alarm Service,1 - 5 miles,351K - 600K
P07239,1,0,0.00,38 - 60,Female,Married,Suburban,None,< 1 mile,601K - 1M
P07240,1,0,0.00,28 - 37,Female,Not Married,Suburban,None,< 1 mile,< 100K
Z07241,1,1,"1,302.14",< 21,Female,Not Married,Urban,Standalone,< 1 mile,100K - 350K
P07242,0.73,1,"1,330.23",28 - 37,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
A07243,1,1,"1,266.79",> 60,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
A07244,1,0,0.00,38 - 60,Female,Married,Urban,Alarm Service,1 - 5 miles,100K - 350K
Z07245,1,0,0.00,> 60,Female,Un-Married,Urban,Standalone,< 1 mile,351K - 600K
P07246,0.45,0,0.00,38 - 60,Female,Not Married,Urban,Alarm Service,< 1 mile,351K - 600K
A07247,1,2,944.01,28 - 37,Male,Not Married,Suburban,Alarm Service,< 1 mile,351K - 600K
A07248,1,0,0.00,> 60,Male,Married,Urban,Standalone,< 1 mile,< 100K
G07249,1,4,"6,749.99",21 - 27,Male,Married,Suburban,Standalone,< 1 mile,351K - 600K
P07250,1,0,0.00,21 - 27,Female,Married,Suburban,Alarm Service,1 - 5 miles,100K - 350K
G07251,1,2,"2,925.22",21 - 27,Female,Un-Married,Suburban,None,< 1 mile,100K - 350K
A07252,1,1,"1,568.28",38 - 60,Female,Un-Married,Urban,Standalone,6 - 10 miles,< 100K
G07253,1,0,0.00,28 - 37,Female,Married,Suburban,None,< 1 mile,351K - 600K
G07254,1,0,0.00,28 - 37,Male,Not Married,Suburban,Standalone,1 - 5 miles,351K - 600K
A07255,1,0,0.00,< 21,Female,Not Married,Suburban,Standalone,< 1 mile,601K - 1M
G07256,1,1,"2,373.41",21 - 27,Male,Married,Urban,Standalone,< 1 mile,100K - 350K
P07257,1,1,"1,592.57",28 - 37,Female,Married,Urban,Standalone,< 1 mile,< 100K
P07258,0.46,1,"1,818.54",38 - 60,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
A07259,1,3,"3,886.28",28 - 37,Male,Married,Suburban,None,< 1 mile,351K - 600K
G07260,1,0,0.00,< 21,Female,Married,Rural,None,6 - 10 miles,351K - 600K
Z07261,1,0,0.00,28 - 37,Female,Married,Urban,None,< 1 mile,351K - 600K
Z07262,1,0,0.00,21 - 27,Female,Married,Urban,Standalone,< 1 mile,351K - 600K
G07263,1,0,0.00,28 - 37,Female,Un-Married,Suburban,Standalone,< 1 mile,351K - 600K
G07264,1,1,967.13,28 - 37,Female,Not Married,Suburban,Standalone,6 - 10 miles,> 1M
Z07265,1,0,0.00,28 - 37,Male,Married,Urban,Standalone,< 1 mile,351K - 600K
Z07266,1,1,854.62,38 - 60,Male,Married,Suburban,Alarm Service,< 1 mile,351K - 600K
Z07267,1,1,"1,378.27",21 - 27,Male,Not Married,Urban,None,< 1 mile,351K - 600K
P07268,1,0,0.00,28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,< 100K
G07269,0.27,0,0.00,21 - 27,Male,Married,Urban,Standalone,< 1 mile,< 100K
G07270,1,1,"1,221.14",38 - 60,Female,Un-Married,Suburban,None,1 - 5 miles,100K - 350K
A07271,1,1,"5,748.43",> 60,Female,Not Married,Suburban,Standalone,1 - 5 miles,351K - 600K
A07272,1,2,"2,800.76",28 - 37,Male,Married,Urban,Alarm Service,< 1 mile,351K - 600K
P07273,1,3,"8,127.81",21 - 27,Female,Un-Married,Urban,None,< 1 mile,351K - 600K
P07274,1,1,199.03,28 - 37,Female,Married,Suburban,Alarm Service,< 1 mile,< 100K
Z07275,1,3,"7,771.20",21 - 27,Male,Married,Urban,Alarm Service,6 - 10 miles,601K - 1M
G07276,1,1,843.44,21 - 27,Female,Married,Urban,Alarm Service,1 - 5 miles,351K - 600K
G07277,1,0,0.00,21 - 27,Male,Married,Suburban,Standalone,< 1 mile,601K - 1M
A07278,1,1,295.23,38 - 60,Female,Married,Urban,Standalone,1 - 5 miles,601K - 1M
Z07279,1,0,0.00,38 - 60,Female,Un-Married,Suburban,Alarm Service,< 1 mile,100K - 350K
Z07280,1,0,0.00,28 - 37,Female,Not Married,Suburban,None,1 - 5 miles,< 100K
