,MSTATUS,TRAVTIME,TIF,CAR_TYPE,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,CLM_COUNT,EXPOSURE
2267,Yes,53,1,Van,No,0,5.0,Highly Urban/ Urban,0,1.0
2268,Yes,25,15,Minivan,No,0,16.0,Highly Urban/ Urban,0,1.0
2269,Yes,32,4,Panel Truck,No,0,9.0,Highly Urban/ Urban,0,0.894
2270,No,36,1,SUV,No,1,1.0,Highly Rural/ Rural,0,1.0
2271,No,50,13,Sports Car,No,0,5.0,Highly Rural/ Rural,0,1.0
2272,No,37,3,Pickup,No,5,1.0,Highly Urban/ Urban,3,0.144
2273,Yes,28,7,Panel Truck,No,0,15.0,Highly Urban/ Urban,0,1.0
2274,Yes,25,1,Sports Car,No,5,3.0,Highly Rural/ Rural,0,1.0
2275,No,5,17,SUV,Yes,0,1.0,Highly Urban/ Urban,2,1.0
2276,Yes,42,1,SUV,Yes,0,1.0,Highly Urban/ Urban,0,0.651
2277,No,19,13,Pickup,No,5,1.0,Highly Urban/ Urban,0,1.0
2278,No,46,4,Pickup,Yes,1,5.0,Highly Urban/ Urban,4,1.0
2279,No,11,8,Minivan,No,1,1.0,Highly Urban/ Urban,0,1.0
2280,No,69,4,SUV,No,2,10.0,Highly Urban/ Urban,2,1.0
2281,Yes,47,1,Pickup,Yes,3,1.0,Highly Urban/ Urban,2,0.21
2282,No,12,13,Sports Car,No,3,9.0,Highly Urban/ Urban,0,1.0
2283,Yes,16,13,SUV,Yes,2,9.0,Highly Urban/ Urban,0,1.0
2284,No,31,6,SUV,No,2,7.0,Highly Rural/ Rural,0,1.0
2285,No,47,13,SUV,No,1,6.0,Highly Urban/ Urban,4,0.87
2286,Yes,36,10,Pickup,Yes,0,16.0,Highly Urban/ Urban,0,1.0
2287,Yes,23,6,Minivan,No,1,1.0,Highly Urban/ Urban,0,1.0
2288,No,51,4,Sports Car,No,5,7.0,Highly Urban/ Urban,0,1.0
2289,Yes,41,1,SUV,No,0,11.0,Highly Urban/ Urban,2,0.444
2290,Yes,13,4,Minivan,No,0,12.0,Highly Urban/ Urban,0,1.0
2291,Yes,22,4,Van,Yes,1,8.0,Highly Urban/ Urban,0,1.0
2292,No,32,10,SUV,No,1,7.0,Highly Rural/ Rural,0,0.792
2293,No,50,3,SUV,No,3,16.0,Highly Urban/ Urban,1,1.0
2294,Yes,23,13,Minivan,No,0,8.0,Highly Urban/ Urban,0,1.0
2295,No,25,1,Pickup,No,3,9.0,Highly Urban/ Urban,1,0.966
2296,No,29,1,Minivan,No,1,5.0,Highly Urban/ Urban,0,1.0
2297,Yes,75,12,Minivan,No,2,7.0,Highly Urban/ Urban,0,0.831
2298,Yes,47,6,Panel Truck,Yes,0,,Highly Rural/ Rural,0,0.399
2299,No,11,4,Van,No,3,15.0,Highly Urban/ Urban,0,1.0
2300,Yes,16,1,Panel Truck,No,0,15.0,Highly Urban/ Urban,0,0.078
2301,No,9,1,Minivan,No,7,6.0,Highly Urban/ Urban,0,0.576
2302,Yes,22,8,SUV,No,0,15.0,Highly Urban/ Urban,3,1.0
2303,Yes,55,16,Minivan,No,0,7.0,Highly Urban/ Urban,3,1.0
2304,Yes,34,6,Minivan,No,0,1.0,Highly Urban/ Urban,7,1.0
2305,No,29,6,SUV,No,0,1.0,Highly Rural/ Rural,0,1.0
2306,Yes,17,13,SUV,No,3,1.0,Highly Urban/ Urban,0,1.0
2307,No,33,1,SUV,No,2,10.0,Highly Urban/ Urban,0,1.0
2308,Yes,27,1,Sports Car,No,0,6.0,Highly Urban/ Urban,1,1.0
2309,No,50,1,Minivan,No,0,8.0,Highly Rural/ Rural,0,1.0
2310,No,35,10,Pickup,No,8,1.0,Highly Urban/ Urban,3,0.156
2311,Yes,52,1,SUV,Yes,3,6.0,Highly Urban/ Urban,3,1.0
2312,Yes,44,9,Sports Car,No,4,1.0,Highly Rural/ Rural,0,1.0
2313,No,12,6,Pickup,No,5,13.0,Highly Urban/ Urban,0,1.0
2314,Yes,30,3,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
2315,Yes,42,1,SUV,No,6,8.0,Highly Urban/ Urban,2,0.09
2316,Yes,26,3,Sports Car,No,3,17.0,Highly Rural/ Rural,0,1.0
2317,Yes,36,1,Panel Truck,No,0,5.0,Highly Urban/ Urban,7,1.0
2318,No,41,1,Minivan,No,4,13.0,Highly Urban/ Urban,0,1.0
2319,Yes,80,6,Pickup,No,0,1.0,Highly Urban/ Urban,0,1.0
2320,No,34,4,SUV,Yes,5,1.0,Highly Urban/ Urban,3,0.351
2321,Yes,41,1,Minivan,No,0,6.0,Highly Rural/ Rural,0,0.789
2322,Yes,24,7,Pickup,No,4,16.0,Highly Urban/ Urban,0,0.108
2323,Yes,14,1,SUV,No,1,6.0,Highly Rural/ Rural,0,1.0
2324,Yes,27,13,Van,No,0,8.0,Highly Urban/ Urban,0,1.0
2325,Yes,25,4,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
2326,Yes,46,13,Sports Car,No,4,1.0,Highly Urban/ Urban,0,1.0
2327,Yes,32,1,Minivan,No,5,7.0,Highly Urban/ Urban,0,0.567
2328,Yes,77,13,SUV,No,0,7.0,Highly Rural/ Rural,0,1.0
2329,Yes,56,4,SUV,No,3,11.0,Highly Rural/ Rural,0,1.0
2330,Yes,46,1,Sports Car,Yes,5,8.0,Highly Urban/ Urban,0,1.0
2331,Yes,43,7,Pickup,No,4,1.0,Highly Urban/ Urban,0,0.597
2332,Yes,32,6,SUV,No,3,19.0,Highly Urban/ Urban,0,1.0
2333,Yes,46,1,Pickup,No,7,7.0,Highly Urban/ Urban,3,0.309
2334,No,33,6,Panel Truck,No,1,15.0,Highly Urban/ Urban,2,0.249
2335,Yes,51,7,SUV,No,0,14.0,Highly Rural/ Rural,0,1.0
2336,Yes,35,6,Minivan,No,3,20.0,Highly Urban/ Urban,0,1.0
2337,Yes,41,1,Van,No,0,,Highly Urban/ Urban,0,0.603
2338,Yes,60,1,SUV,No,1,8.0,Highly Urban/ Urban,0,1.0
2339,Yes,52,7,SUV,No,0,1.0,Highly Urban/ Urban,3,1.0
2340,Yes,58,1,Minivan,No,3,10.0,Highly Urban/ Urban,0,1.0
2341,No,50,10,Sports Car,No,1,24.0,Highly Urban/ Urban,0,1.0
2342,Yes,6,1,Minivan,No,0,15.0,Highly Urban/ Urban,0,1.0
2343,Yes,45,4,Pickup,No,0,1.0,Highly Rural/ Rural,0,1.0
2344,No,37,7,SUV,No,1,1.0,Highly Urban/ Urban,0,0.111
2345,Yes,49,3,SUV,No,0,6.0,Highly Rural/ Rural,0,1.0
2346,Yes,33,6,SUV,No,0,18.0,Highly Urban/ Urban,0,1.0
2347,Yes,61,13,Pickup,No,0,,Highly Urban/ Urban,5,1.0
2348,No,31,4,Minivan,No,1,13.0,Highly Urban/ Urban,0,1.0
2349,No,7,7,Minivan,No,3,17.0,Highly Urban/ Urban,0,1.0
2350,Yes,35,8,SUV,Yes,0,1.0,Highly Urban/ Urban,0,1.0
2351,No,18,4,Panel Truck,No,4,,Highly Urban/ Urban,1,1.0
2352,Yes,50,7,Pickup,No,0,7.0,Highly Urban/ Urban,0,1.0
2353,No,23,6,SUV,Yes,4,6.0,Highly Urban/ Urban,3,1.0
2354,No,49,1,Pickup,Yes,2,1.0,Highly Urban/ Urban,2,0.306
2355,Yes,41,1,Van,No,5,13.0,Highly Urban/ Urban,0,1.0
2356,Yes,13,1,SUV,No,0,,Highly Rural/ Rural,0,1.0
2357,No,29,7,SUV,No,0,1.0,Highly Rural/ Rural,0,1.0
2358,No,17,6,SUV,No,0,,Highly Urban/ Urban,0,0.207
2359,Yes,44,13,SUV,No,4,1.0,Highly Urban/ Urban,0,1.0
2360,No,18,1,Minivan,No,2,3.0,Highly Urban/ Urban,0,1.0
2361,Yes,25,10,Panel Truck,No,0,5.0,Highly Urban/ Urban,0,1.0
2362,No,48,6,SUV,No,8,10.0,Highly Urban/ Urban,4,1.0
2363,Yes,26,3,SUV,No,1,11.0,Highly Urban/ Urban,0,0.525
2364,No,40,4,Sports Car,No,7,6.0,Highly Urban/ Urban,0,1.0
2365,Yes,68,1,Sports Car,No,4,9.0,Highly Urban/ Urban,0,1.0
2366,No,37,9,Minivan,Yes,0,16.0,Highly Urban/ Urban,0,1.0
2367,No,26,1,Pickup,Yes,1,7.0,Highly Urban/ Urban,4,0.873
2368,No,9,4,SUV,No,1,6.0,Highly Rural/ Rural,0,0.159
2369,Yes,33,1,Sports Car,No,1,1.0,Highly Urban/ Urban,3,0.636
2370,No,42,7,Van,No,0,1.0,Highly Urban/ Urban,5,0.069
2371,No,19,1,SUV,No,2,9.0,Highly Urban/ Urban,1,1.0
2372,Yes,38,6,Minivan,No,0,12.0,Highly Urban/ Urban,0,0.036
2373,Yes,57,1,SUV,No,0,8.0,Highly Urban/ Urban,0,1.0
2374,No,35,7,Minivan,No,1,6.0,Highly Rural/ Rural,0,1.0
2375,Yes,32,1,SUV,No,5,6.0,Highly Rural/ Rural,0,1.0
2376,Yes,30,1,SUV,No,0,7.0,Highly Urban/ Urban,5,1.0
2377,No,33,9,Minivan,Yes,1,1.0,Highly Urban/ Urban,0,1.0
2378,No,50,4,Panel Truck,No,2,1.0,Highly Rural/ Rural,1,1.0
2379,Yes,56,1,Pickup,No,2,1.0,Highly Urban/ Urban,0,1.0
2380,Yes,45,1,Van,No,3,11.0,Highly Urban/ Urban,0,1.0
2381,No,69,3,Pickup,Yes,0,16.0,Highly Urban/ Urban,0,1.0
2382,Yes,18,6,Minivan,No,0,19.0,Highly Urban/ Urban,0,0.726
2383,Yes,60,4,Van,No,4,15.0,Highly Rural/ Rural,0,1.0
2384,Yes,44,3,Pickup,No,0,1.0,Highly Urban/ Urban,1,0.093
2385,No,55,10,SUV,Yes,1,1.0,Highly Rural/ Rural,0,1.0
2386,Yes,45,1,Panel Truck,No,3,11.0,Highly Urban/ Urban,0,1.0
2387,No,28,1,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2388,No,41,1,Minivan,No,2,9.0,Highly Rural/ Rural,0,1.0
2389,No,37,4,SUV,No,5,10.0,Highly Urban/ Urban,0,1.0
2390,Yes,79,1,Sports Car,No,0,1.0,Highly Urban/ Urban,0,0.15
2391,No,22,10,Minivan,No,0,15.0,Highly Urban/ Urban,0,1.0
2392,No,31,4,SUV,No,5,3.0,Highly Urban/ Urban,4,1.0
2393,Yes,45,1,SUV,No,3,8.0,Highly Urban/ Urban,2,1.0
2394,No,38,1,Pickup,No,0,11.0,Highly Urban/ Urban,2,1.0
2395,No,52,6,Panel Truck,No,0,12.0,Highly Urban/ Urban,0,1.0
2396,No,41,1,SUV,No,2,4.0,Highly Rural/ Rural,0,1.0
2397,Yes,57,7,Sports Car,No,6,12.0,Highly Urban/ Urban,4,0.816
2398,Yes,26,1,Minivan,No,4,12.0,Highly Urban/ Urban,3,0.456
2399,No,21,6,Pickup,No,1,16.0,Highly Urban/ Urban,1,1.0
2400,No,27,1,SUV,No,0,12.0,Highly Urban/ Urban,0,1.0
2401,No,43,1,Minivan,No,5,4.0,Highly Urban/ Urban,5,1.0
2402,No,20,9,SUV,No,3,6.0,Highly Urban/ Urban,0,1.0
2403,Yes,36,6,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2404,Yes,70,1,Van,No,0,11.0,Highly Urban/ Urban,3,1.0
2405,Yes,35,4,Minivan,No,0,9.0,Highly Rural/ Rural,0,1.0
2406,Yes,42,7,SUV,No,0,6.0,Highly Urban/ Urban,0,1.0
2407,Yes,34,13,SUV,No,3,4.0,Highly Urban/ Urban,2,0.972
2408,No,23,6,Sports Car,Yes,2,1.0,Highly Urban/ Urban,0,0.774
2409,Yes,43,4,SUV,No,3,5.0,Highly Urban/ Urban,0,1.0
2410,No,46,6,SUV,No,0,1.0,Highly Urban/ Urban,1,0.006
2411,Yes,29,1,Van,Yes,3,15.0,Highly Urban/ Urban,0,1.0
2412,No,10,1,Pickup,No,0,8.0,Highly Rural/ Rural,0,1.0
2413,Yes,51,4,Minivan,No,0,14.0,Highly Urban/ Urban,0,1.0
2414,Yes,35,1,SUV,Yes,4,15.0,Highly Urban/ Urban,0,1.0
2415,Yes,43,6,Van,No,3,12.0,Highly Urban/ Urban,0,0.558
2416,Yes,24,10,SUV,Yes,3,1.0,Highly Urban/ Urban,7,1.0
2417,No,25,1,SUV,No,2,8.0,Highly Urban/ Urban,3,0.789
2418,Yes,44,6,Pickup,No,1,14.0,Highly Urban/ Urban,0,1.0
2419,No,26,3,Panel Truck,No,3,9.0,Highly Urban/ Urban,0,1.0
2420,Yes,22,1,Minivan,No,0,24.0,Highly Urban/ Urban,0,1.0
2421,Yes,5,10,Pickup,No,0,7.0,Highly Urban/ Urban,0,1.0
2422,Yes,23,6,SUV,No,6,1.0,Highly Urban/ Urban,0,1.0
2423,Yes,43,4,Panel Truck,No,3,1.0,Highly Urban/ Urban,0,1.0
2424,Yes,39,3,SUV,No,0,8.0,Highly Urban/ Urban,0,1.0
2425,Yes,37,6,Panel Truck,No,0,13.0,Highly Rural/ Rural,0,0.798
2426,Yes,23,10,Panel Truck,Yes,2,15.0,Highly Urban/ Urban,0,1.0
2427,Yes,35,1,Minivan,No,0,9.0,Highly Urban/ Urban,0,1.0
2428,No,34,4,Van,Yes,0,1.0,Highly Rural/ Rural,0,1.0
2429,No,56,4,SUV,Yes,3,19.0,Highly Urban/ Urban,0,0.621
2430,No,53,6,Sports Car,No,5,,Highly Urban/ Urban,4,1.0
2431,Yes,16,4,Minivan,No,0,15.0,Highly Urban/ Urban,0,1.0
2432,Yes,11,6,Pickup,No,0,10.0,Highly Urban/ Urban,0,1.0
2433,Yes,40,1,Pickup,No,0,14.0,Highly Rural/ Rural,0,0.906
2434,Yes,5,1,Minivan,No,0,11.0,Highly Urban/ Urban,2,1.0
2435,Yes,45,4,Sports Car,No,3,10.0,Highly Rural/ Rural,0,1.0
2436,No,46,1,Panel Truck,No,0,16.0,Highly Urban/ Urban,0,1.0
2437,No,40,1,Minivan,No,2,12.0,Highly Urban/ Urban,0,1.0
2438,No,29,6,Pickup,No,0,4.0,Highly Rural/ Rural,0,1.0
2439,Yes,36,1,Sports Car,No,0,13.0,Highly Rural/ Rural,0,1.0
2440,Yes,22,4,Pickup,No,8,1.0,Highly Urban/ Urban,2,0.447
2441,No,24,7,Pickup,No,2,19.0,Highly Urban/ Urban,3,0.144
2442,No,37,6,Pickup,No,1,16.0,Highly Urban/ Urban,0,1.0
2443,No,40,3,SUV,No,2,6.0,Highly Urban/ Urban,3,1.0
2444,No,26,6,Minivan,No,0,,Highly Urban/ Urban,0,0.948
2445,Yes,13,3,Van,No,0,13.0,Highly Urban/ Urban,0,1.0
2446,Yes,69,17,Panel Truck,No,3,1.0,Highly Urban/ Urban,0,1.0
2447,No,40,1,Minivan,No,2,15.0,Highly Urban/ Urban,0,1.0
2448,Yes,21,1,Panel Truck,No,1,15.0,Highly Urban/ Urban,0,1.0
2449,No,47,12,Pickup,No,0,12.0,Highly Rural/ Rural,0,1.0
2450,No,8,7,SUV,No,0,1.0,Highly Urban/ Urban,0,0.918
2451,Yes,21,1,Pickup,No,0,13.0,Highly Urban/ Urban,0,1.0
2452,No,45,4,SUV,Yes,0,1.0,Highly Urban/ Urban,2,1.0
2453,Yes,25,4,Minivan,No,0,8.0,Highly Urban/ Urban,0,1.0
2454,Yes,42,7,Sports Car,No,4,1.0,Highly Rural/ Rural,0,0.744
2455,No,12,3,Panel Truck,No,3,25.0,Highly Urban/ Urban,1,0.669
2456,No,52,9,Panel Truck,No,0,1.0,Highly Rural/ Rural,0,1.0
2457,No,17,1,Panel Truck,No,2,7.0,Highly Rural/ Rural,0,0.018
2458,No,11,7,Van,No,0,1.0,Highly Rural/ Rural,0,1.0
2459,Yes,20,10,SUV,No,1,20.0,Highly Urban/ Urban,0,1.0
2460,No,9,7,SUV,Yes,2,1.0,Highly Urban/ Urban,3,1.0
2461,Yes,34,10,Sports Car,No,0,16.0,Highly Urban/ Urban,0,0.189
2462,Yes,21,4,Panel Truck,No,6,17.0,Highly Urban/ Urban,0,1.0
2463,No,5,3,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2464,No,39,10,Pickup,No,5,13.0,Highly Urban/ Urban,4,1.0
2465,Yes,21,10,Sports Car,No,2,1.0,Highly Rural/ Rural,0,0.45
2466,Yes,20,14,Van,No,1,15.0,Highly Urban/ Urban,0,1.0
2467,No,25,4,SUV,Yes,5,12.0,Highly Rural/ Rural,0,1.0
2468,No,24,1,Pickup,No,0,6.0,Highly Urban/ Urban,0,0.216
2469,No,22,11,Van,No,0,1.0,Highly Rural/ Rural,0,1.0
2470,No,19,10,Minivan,No,0,16.0,Highly Urban/ Urban,0,1.0
2471,Yes,62,4,Pickup,No,2,1.0,Highly Rural/ Rural,0,1.0
2472,Yes,14,7,SUV,No,2,14.0,Highly Urban/ Urban,0,1.0
2473,No,27,6,Sports Car,No,0,1.0,Highly Urban/ Urban,0,0.849
2474,Yes,53,6,SUV,No,1,1.0,Highly Rural/ Rural,0,1.0
2475,Yes,40,1,Minivan,No,3,6.0,Highly Urban/ Urban,0,0.897
2476,No,34,10,Van,Yes,3,9.0,Highly Urban/ Urban,3,0.258
2477,Yes,32,3,SUV,No,9,1.0,Highly Urban/ Urban,2,0.471
2478,Yes,40,4,Minivan,No,2,11.0,Highly Urban/ Urban,0,1.0
2479,No,12,6,Panel Truck,No,5,1.0,Highly Urban/ Urban,3,0.135
2480,No,22,1,Sports Car,No,3,8.0,Highly Rural/ Rural,0,1.0
2481,Yes,19,1,SUV,No,0,1.0,Highly Urban/ Urban,0,0.651
2482,Yes,5,6,Sports Car,No,0,1.0,Highly Urban/ Urban,0,1.0
2483,Yes,5,6,Van,No,0,18.0,Highly Urban/ Urban,0,1.0
2484,No,49,3,Sports Car,No,1,1.0,Highly Urban/ Urban,0,0.429
2485,No,46,11,Minivan,No,2,12.0,Highly Urban/ Urban,0,1.0
2486,No,31,7,SUV,No,2,,Highly Rural/ Rural,5,0.12
2487,No,27,4,Pickup,No,5,1.0,Highly Urban/ Urban,0,1.0
2488,Yes,48,1,Minivan,No,1,14.0,Highly Urban/ Urban,0,0.432
2489,No,37,1,Sports Car,No,7,6.0,Highly Urban/ Urban,0,1.0
2490,No,28,6,Pickup,No,1,14.0,Highly Urban/ Urban,0,1.0
2491,Yes,36,6,SUV,Yes,0,1.0,Highly Urban/ Urban,1,0.399
2492,No,53,10,Minivan,Yes,0,19.0,Highly Urban/ Urban,0,1.0
2493,Yes,44,7,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2494,No,36,6,Minivan,No,0,8.0,Highly Urban/ Urban,4,1.0
2495,No,21,6,SUV,No,0,13.0,Highly Rural/ Rural,0,1.0
2496,Yes,71,1,Van,No,2,,Highly Rural/ Rural,0,0.294
2497,Yes,9,6,SUV,No,5,10.0,Highly Urban/ Urban,4,1.0
2498,Yes,29,10,Pickup,Yes,5,1.0,Highly Urban/ Urban,4,0.381
2499,Yes,30,1,SUV,Yes,2,1.0,Highly Urban/ Urban,2,1.0
2500,Yes,27,6,Pickup,No,0,,Highly Urban/ Urban,0,1.0
2501,No,37,1,Sports Car,No,0,1.0,Highly Urban/ Urban,0,0.054
2502,No,34,8,Pickup,Yes,0,9.0,Highly Urban/ Urban,0,1.0
2503,Yes,41,13,SUV,No,8,13.0,Highly Urban/ Urban,0,1.0
2504,Yes,33,13,Van,Yes,5,1.0,Highly Urban/ Urban,0,1.0
2505,Yes,43,6,Sports Car,No,4,1.0,Highly Urban/ Urban,0,1.0
2506,No,26,10,Minivan,No,1,10.0,Highly Urban/ Urban,0,1.0
2507,Yes,20,10,SUV,No,2,7.0,Highly Urban/ Urban,0,1.0
2508,Yes,39,10,Minivan,No,0,16.0,Highly Urban/ Urban,1,0.252
2509,Yes,31,6,Minivan,No,2,1.0,Highly Urban/ Urban,0,1.0
2510,No,37,12,Minivan,No,0,5.0,Highly Urban/ Urban,1,0.684
2511,Yes,36,17,Minivan,No,5,6.0,Highly Urban/ Urban,0,1.0
2512,No,6,10,Minivan,No,0,1.0,Highly Rural/ Rural,0,1.0
2513,No,9,10,Van,No,8,11.0,Highly Urban/ Urban,2,1.0
2514,Yes,43,1,Pickup,No,5,7.0,Highly Urban/ Urban,1,1.0
2515,Yes,32,4,Panel Truck,No,4,10.0,Highly Urban/ Urban,0,0.411
2516,Yes,26,3,SUV,No,0,5.0,Highly Rural/ Rural,0,1.0
2517,Yes,23,1,Minivan,No,0,1.0,Highly Rural/ Rural,0,0.045
2518,Yes,70,9,Minivan,No,0,11.0,Highly Urban/ Urban,0,0.123
2519,Yes,33,10,Sports Car,No,3,1.0,Highly Urban/ Urban,3,0.603
2520,No,45,6,Pickup,No,2,,Highly Urban/ Urban,0,0.093
2521,No,62,4,Minivan,No,1,9.0,Highly Urban/ Urban,0,0.21
2522,No,20,4,Minivan,No,0,12.0,Highly Urban/ Urban,0,1.0
2523,Yes,33,1,Panel Truck,No,5,8.0,Highly Urban/ Urban,0,1.0
2524,Yes,30,1,Panel Truck,No,2,8.0,Highly Urban/ Urban,0,0.333
2525,Yes,28,4,Pickup,No,6,1.0,Highly Rural/ Rural,0,1.0
2526,Yes,29,1,Minivan,No,2,7.0,Highly Urban/ Urban,0,1.0
2527,Yes,12,7,Pickup,No,4,5.0,Highly Urban/ Urban,0,1.0
2528,Yes,26,6,Van,No,0,1.0,Highly Urban/ Urban,0,1.0
2529,No,14,1,Minivan,No,2,8.0,Highly Urban/ Urban,0,1.0
2530,Yes,34,1,SUV,No,5,10.0,Highly Urban/ Urban,0,1.0
2531,No,29,1,Pickup,No,0,1.0,Highly Urban/ Urban,0,1.0
2532,Yes,6,4,Minivan,Yes,9,1.0,Highly Urban/ Urban,4,1.0
2533,Yes,33,16,Minivan,No,3,18.0,Highly Urban/ Urban,0,1.0
2534,No,39,1,Van,No,4,1.0,Highly Urban/ Urban,0,1.0
2535,No,72,1,Minivan,No,0,8.0,Highly Rural/ Rural,0,1.0
2536,Yes,35,3,Van,No,1,9.0,Highly Urban/ Urban,0,1.0
2537,No,29,1,Pickup,Yes,0,17.0,Highly Urban/ Urban,0,1.0
2538,Yes,45,6,Van,No,3,4.0,Highly Rural/ Rural,0,0.012
2539,No,27,1,Van,No,7,10.0,Highly Urban/ Urban,3,1.0
2540,No,22,4,Minivan,No,7,12.0,Highly Urban/ Urban,3,1.0
2541,No,18,10,Sports Car,No,0,6.0,Highly Rural/ Rural,0,0.162
2542,Yes,32,6,Panel Truck,No,5,6.0,Highly Urban/ Urban,0,1.0
2543,No,22,3,Minivan,No,0,1.0,Highly Urban/ Urban,1,0.423
2544,No,16,11,Sports Car,No,8,18.0,Highly Urban/ Urban,0,1.0
2545,Yes,63,1,Sports Car,No,0,9.0,Highly Urban/ Urban,0,1.0
2546,Yes,30,4,SUV,No,4,1.0,Highly Urban/ Urban,4,0.906
2547,Yes,23,6,Pickup,Yes,7,1.0,Highly Urban/ Urban,0,0.471
2548,No,50,6,SUV,No,5,19.0,Highly Urban/ Urban,0,1.0
2549,No,62,11,Panel Truck,No,1,15.0,Highly Urban/ Urban,0,1.0
2550,No,10,1,SUV,No,3,13.0,Highly Rural/ Rural,0,1.0
2551,Yes,41,9,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2552,Yes,43,1,Minivan,No,0,1.0,Highly Urban/ Urban,0,1.0
2553,No,22,4,SUV,No,3,7.0,Highly Urban/ Urban,2,0.006
2554,No,25,4,Minivan,No,3,7.0,Highly Urban/ Urban,2,1.0
2555,Yes,26,4,SUV,No,0,1.0,Highly Urban/ Urban,0,1.0
2556,Yes,22,1,SUV,No,0,9.0,Highly Urban/ Urban,3,1.0
2557,Yes,16,1,Pickup,No,2,7.0,Highly Urban/ Urban,0,1.0
2558,No,48,11,SUV,No,4,1.0,Highly Urban/ Urban,3,0.903
2559,Yes,25,4,SUV,No,4,,Highly Urban/ Urban,0,1.0
2560,No,43,10,Panel Truck,No,0,,Highly Urban/ Urban,6,1.0
2561,Yes,45,3,Sports Car,No,5,12.0,Highly Urban/ Urban,0,1.0
2562,Yes,30,6,SUV,No,1,7.0,Highly Urban/ Urban,0,1.0
2563,No,39,13,Pickup,No,0,10.0,Highly Rural/ Rural,0,1.0
2564,No,36,9,Minivan,No,0,8.0,Highly Rural/ Rural,0,1.0
2565,No,28,6,Van,No,0,1.0,Highly Urban/ Urban,3,0.3
2566,Yes,5,1,SUV,No,0,1.0,Highly Urban/ Urban,0,0.138
2567,Yes,18,1,SUV,No,0,1.0,Highly Urban/ Urban,0,0.108
2568,Yes,34,1,Minivan,No,1,11.0,Highly Urban/ Urban,0,1.0
2569,Yes,8,1,Sports Car,Yes,3,13.0,Highly Urban/ Urban,0,1.0
2570,No,36,1,SUV,No,1,1.0,Highly Rural/ Rural,0,1.0
2571,Yes,51,1,Minivan,No,1,6.0,Highly Urban/ Urban,4,1.0
2572,Yes,27,4,SUV,No,0,15.0,Highly Urban/ Urban,0,1.0
2573,Yes,22,6,Sports Car,No,0,7.0,Highly Urban/ Urban,4,0.561
2574,Yes,26,9,SUV,No,3,1.0,Highly Urban/ Urban,0,1.0
2575,Yes,11,1,Van,No,5,8.0,Highly Urban/ Urban,0,1.0
2576,No,26,11,Minivan,No,1,15.0,Highly Urban/ Urban,0,1.0
2577,Yes,76,6,Panel Truck,No,2,9.0,Highly Urban/ Urban,2,1.0
2578,No,31,4,Panel Truck,No,6,20.0,Highly Urban/ Urban,0,1.0
2579,No,29,1,Minivan,No,3,9.0,Highly Urban/ Urban,0,1.0
2580,No,54,1,Minivan,No,1,13.0,Highly Urban/ Urban,0,1.0
2581,Yes,38,1,Minivan,No,0,9.0,Highly Urban/ Urban,0,1.0
2582,Yes,13,1,SUV,No,2,7.0,Highly Rural/ Rural,0,1.0
2583,Yes,13,10,Minivan,No,2,13.0,Highly Urban/ Urban,0,0.501
2584,No,28,13,Panel Truck,No,2,11.0,Highly Urban/ Urban,0,1.0
2585,No,33,10,Van,No,3,11.0,Highly Urban/ Urban,0,1.0
2586,Yes,49,1,Panel Truck,No,3,11.0,Highly Urban/ Urban,0,1.0
2587,Yes,52,4,Panel Truck,No,2,17.0,Highly Urban/ Urban,0,0.342
2588,Yes,49,4,Panel Truck,No,2,1.0,Highly Urban/ Urban,0,0.513
2589,Yes,62,4,Van,No,0,11.0,Highly Rural/ Rural,0,0.195
2590,Yes,19,6,Pickup,No,0,8.0,Highly Rural/ Rural,0,1.0
2591,Yes,67,10,Panel Truck,No,4,11.0,Highly Urban/ Urban,0,1.0
2592,Yes,65,1,SUV,Yes,0,11.0,Highly Urban/ Urban,6,0.147
2593,Yes,28,11,Pickup,No,0,,Highly Urban/ Urban,0,1.0
2594,No,41,1,Pickup,No,1,1.0,Highly Urban/ Urban,4,1.0
2595,Yes,31,10,Minivan,No,0,6.0,Highly Rural/ Rural,0,1.0
2596,Yes,5,1,Minivan,Yes,3,1.0,Highly Urban/ Urban,0,0.816
2597,Yes,15,10,Minivan,No,0,4.0,Highly Rural/ Rural,0,0.675
2598,Yes,50,4,SUV,Yes,0,12.0,Highly Urban/ Urban,0,1.0
2599,Yes,16,6,Minivan,No,4,13.0,Highly Urban/ Urban,0,1.0
2600,No,53,6,Panel Truck,No,0,22.0,Highly Urban/ Urban,0,1.0
2601,Yes,33,17,Minivan,No,3,1.0,Highly Urban/ Urban,6,0.492
2602,Yes,29,1,SUV,Yes,1,8.0,Highly Urban/ Urban,2,0.03
2603,Yes,35,17,Sports Car,No,0,11.0,Highly Urban/ Urban,0,1.0
2604,Yes,12,1,Minivan,No,3,12.0,Highly Rural/ Rural,0,1.0
