policy,primary_age_tier,primary_gender,marital,residence_location,aoi_tier,exposure,num_claims,amt_claims
P07238,21 - 27,Female,Un-Married,Urban,351K - 600K,1,2,"1,802.89"
A01488,21 - 27,Female,Un-Married,Suburban,100K - 350K,0.45,0,0.00
A00075,28 - 37,Female,Un-Married,Suburban,100K - 350K,1,3,"11,956.56"
A00880,28 - 37,Female,Un-Married,Urban,351K - 600K,0.43,0,0.00
Z07608,21 - 27,Male,Married,Urban,351K - 600K,1,2,"15,935.54"
G03050,21 - 27,Male,Married,Urban,351K - 600K,1,1,"5,628.24"
G04365,38 - 60,Male,Not Married,Suburban,< 100K,1,0,0.00
A01462,38 - 60,Male,Not Married,Rural,< 100K,1,3,"5,496.20"
Z08846,21 - 27,Female,Not Married,Urban,100K - 350K,1,2,"8,458.73"
P05231,> 60,Female,Un-Married,Suburban,351K - 600K,1,0,0.00
G04972,28 - 37,Female,Married,Suburban,351K - 600K,1,1,"3,195.81"
A00748,28 - 37,Female,Married,Rural,601K - 1M,1,0,0.00
G03380,28 - 37,Female,Married,Suburban,351K - 600K,1,1,510.62
Z08505,28 - 37,Female,Married,Urban,100K - 350K,0.98,1,"6,794.53"
Z09689,21 - 27,Male,Not Married,Urban,351K - 600K,0.26,2,"11,299.83"
A01524,38 - 60,Male,Married,Rural,601K - 1M,1,1,"2,005.66"
Z09712,28 - 37,Male,Married,Suburban,601K - 1M,0.71,1,"1,711.05"
Z09951,< 21,Female,Married,Urban,351K - 600K,1,1,899.08
Z09749,38 - 60,Male,Married,Urban,351K - 600K,1,0,0.00
A01830,< 21,Female,Not Married,Urban,351K - 600K,0.33,0,0.00
P06264,28 - 37,Female,Un-Married,Suburban,351K - 600K,1,4,"11,686.98"
Z07654,38 - 60,Female,Married,Suburban,< 100K,0.14,0,0.00
A01808,38 - 60,Female,Married,Suburban,601K - 1M,1,0,0.00
Z09676,21 - 27,Female,Not Married,Urban,601K - 1M,1,0,0.00
G04797,< 21,Male,Married,Suburban,601K - 1M,1,3,"4,489.50"
P06930,28 - 37,Female,Married,Urban,351K - 600K,0.26,1,"7,532.35"
Z09218,28 - 37,Female,Married,Urban,351K - 600K,0.81,1,"4,820.20"
P05329,38 - 60,Female,Married,Suburban,351K - 600K,1,0,0.00
G03968,38 - 60,Male,Not Married,Suburban,351K - 600K,1,2,"2,800.32"
A00212,38 - 60,Male,Un-Married,Urban,351K - 600K,0.33,0,0.00
Z08454,28 - 37,Male,Not Married,Urban,351K - 600K,0.72,3,"23,899.96"
Z08377,38 - 60,Female,Not Married,Urban,351K - 600K,1,0,0.00
A01242,21 - 27,Male,Married,Suburban,351K - 600K,0.15,0,0.00
G03631,< 21,Female,Married,Suburban,100K - 350K,1,2,"3,804.25"
Z09351,28 - 37,Female,Married,Urban,351K - 600K,1,2,"5,967.50"
G02599,38 - 60,Male,Not Married,Urban,351K - 600K,1,0,0.00
P07289,28 - 37,Male,Un-Married,Urban,> 1M,1,0,0.00
A01052,> 60,Female,Married,Urban,351K - 600K,0.65,0,0.00
P07136,38 - 60,Female,Un-Married,Suburban,351K - 600K,1,3,"2,757.99"
Z08107,28 - 37,Female,Un-Married,Urban,351K - 600K,0.93,1,"3,084.73"
G03191,> 60,Female,Married,Urban,601K - 1M,0.33,2,"6,262.44"
A01632,28 - 37,Male,Not Married,Urban,351K - 600K,0.2,0,0.00
P06428,38 - 60,Male,Married,Urban,601K - 1M,1,1,"4,010.14"
P06262,28 - 37,Female,Un-Married,Urban,100K - 350K,1,2,"14,125.72"
Z09895,< 21,Female,Married,Suburban,100K - 350K,1,4,"24,521.74"
G04449,38 - 60,Female,Un-Married,Urban,351K - 600K,1,1,"3,412.85"
P05133,28 - 37,Female,Un-Married,Suburban,100K - 350K,0.27,2,"4,505.07"
Z09293,21 - 27,Female,Not Married,Urban,351K - 600K,0.11,2,"5,700.20"
P05758,> 60,Female,Un-Married,Urban,351K - 600K,0.95,1,"1,808.65"
A01674,28 - 37,Male,Married,Suburban,601K - 1M,1,3,"5,772.42"
G03038,28 - 37,Male,Married,Urban,< 100K,0.11,1,"2,524.13"
Z08823,> 60,Female,Un-Married,Urban,351K - 600K,1,0,0.00
G04376,38 - 60,Male,Married,Urban,601K - 1M,1,1,"5,682.22"
Z07865,28 - 37,Male,Married,Urban,100K - 350K,1,0,0.00
G02963,38 - 60,Female,Un-Married,Urban,601K - 1M,1,0,0.00
Z09728,38 - 60,Female,Married,Urban,601K - 1M,1,1,"2,209.44"
Z09439,< 21,Female,Un-Married,Suburban,100K - 350K,1,3,"17,930.08"
P07374,28 - 37,Female,Not Married,Urban,601K - 1M,1,1,"4,396.82"
P07433,28 - 37,Female,Married,Suburban,100K - 350K,1,0,0.00
G04611,38 - 60,Female,Married,Urban,100K - 350K,1,0,0.00
Z08479,> 60,Female,Un-Married,Urban,351K - 600K,0.68,1,"5,407.81"
A02118,28 - 37,Male,Married,Suburban,601K - 1M,1,1,"1,783.13"
P07491,38 - 60,Female,Un-Married,Urban,351K - 600K,0.99,1,"3,311.28"
P07158,28 - 37,Female,Married,Suburban,351K - 600K,1,4,"16,671.77"
G03331,38 - 60,Female,Not Married,Suburban,< 100K,0.31,1,"6,909.07"
Z09438,21 - 27,Female,Married,Suburban,601K - 1M,1,0,0.00
P07353,28 - 37,Female,Married,Urban,100K - 350K,1,1,"10,969.43"
A01219,28 - 37,Male,Married,Suburban,601K - 1M,1,5,"4,736.87"
A02461,28 - 37,Male,Married,Suburban,351K - 600K,1,0,0.00
A02262,28 - 37,Female,Married,Urban,100K - 350K,1,2,"7,370.35"
A02383,38 - 60,Male,Un-Married,Urban,100K - 350K,1,1,"2,481.87"
G02949,28 - 37,Male,Un-Married,Suburban,601K - 1M,1,4,"1,556.29"
Z09063,> 60,Female,Married,Suburban,100K - 350K,1,0,0.00
A01562,38 - 60,Female,Married,Urban,601K - 1M,1,0,0.00
Z09813,28 - 37,Female,Married,Suburban,601K - 1M,1,0,0.00
P05443,28 - 37,Female,Not Married,Urban,< 100K,1,1,"4,203.86"
G02785,21 - 27,Female,Not Married,Urban,< 100K,1,1,"18,000.91"
Z09334,38 - 60,Male,Not Married,Suburban,351K - 600K,1,3,"3,900.48"
P07396,38 - 60,Female,Married,Suburban,100K - 350K,1,3,"11,977.17"
P06858,< 21,Male,Married,Urban,100K - 350K,1,2,"10,820.08"
P07258,21 - 27,Female,Un-Married,Urban,351K - 600K,0.22,1,"3,967.04"
G04291,28 - 37,Female,Un-Married,Suburban,100K - 350K,0.63,1,"4,226.55"
Z08686,> 60,Female,Married,Urban,< 100K,0.8,2,"21,434.10"
G02675,21 - 27,Female,Married,Suburban,351K - 600K,1,3,"8,022.80"
P06773,38 - 60,Female,Not Married,Urban,351K - 600K,1,1,"2,377.33"
Z09774,28 - 37,Female,Un-Married,Urban,351K - 600K,1,0,0.00
G04610,21 - 27,Female,Not Married,Urban,601K - 1M,1,1,"3,415.23"
G04692,38 - 60,Female,Not Married,Urban,601K - 1M,1,1,"3,365.78"
G03031,38 - 60,Male,Married,Suburban,100K - 350K,0.96,1,"2,247.86"
Z08506,< 21,Female,Married,Suburban,351K - 600K,1,0,0.00
Z09272,21 - 27,Male,Not Married,Urban,100K - 350K,1,1,"4,671.30"
P06682,< 21,Female,Un-Married,Suburban,< 100K,1,3,"10,770.70"
A01122,38 - 60,Female,Not Married,Urban,601K - 1M,1,2,"5,786.72"
G04279,38 - 60,Male,Married,Suburban,100K - 350K,1,2,"13,546.19"
P06761,21 - 27,Male,Married,Suburban,351K - 600K,1,1,294.16
P05141,> 60,Male,Married,Suburban,601K - 1M,1,1,712.77
Z09009,28 - 37,Male,Married,Urban,601K - 1M,1,2,"4,303.02"
A00745,28 - 37,Male,Married,Urban,100K - 350K,1,0,0.00
A01803,28 - 37,Male,Married,Rural,> 1M,1,1,"2,098.20"
P06992,> 60,Male,Un-Married,Suburban,351K - 600K,1,2,"7,948.75"
G03022,38 - 60,Male,Un-Married,Urban,351K - 600K,1,0,0.00
P06822,21 - 27,Male,Un-Married,Suburban,601K - 1M,1,2,"1,449.14"
P07462,> 60,Female,Un-Married,Urban,601K - 1M,1,1,"8,418.68"
A01778,28 - 37,Female,Not Married,Suburban,351K - 600K,1,0,0.00
G03488,28 - 37,Female,Married,Suburban,100K - 350K,0.92,2,"3,971.53"
G02905,21 - 27,Male,Married,Rural,100K - 350K,1,2,"14,638.62"
A02166,21 - 27,Male,Married,Urban,100K - 350K,1,2,"7,239.38"
G03450,21 - 27,Male,Un-Married,Suburban,100K - 350K,1,0,0.00
Z07936,< 21,Female,Married,Rural,601K - 1M,1,0,0.00
P06440,38 - 60,Female,Married,Urban,100K - 350K,1,0,0.00
A00877,28 - 37,Female,Un-Married,Suburban,100K - 350K,1,2,"13,084.35"
P06732,< 21,Male,Married,Urban,100K - 350K,1,3,"7,651.75"
Z07510,28 - 37,Female,Married,Suburban,100K - 350K,1,1,"3,437.33"
Z07869,28 - 37,Male,Married,Urban,> 1M,1,1,552.99
G04543,28 - 37,Female,Un-Married,Urban,351K - 600K,1,3,"10,249.15"
A00948,21 - 27,Female,Un-Married,Urban,351K - 600K,0.32,0,0.00
G04629,21 - 27,Female,Not Married,Suburban,601K - 1M,1,2,"5,322.27"
A00814,38 - 60,Female,Married,Urban,351K - 600K,0.95,2,"7,275.09"
P05141,28 - 37,Male,Married,Urban,351K - 600K,1,0,0.00
P06815,38 - 60,Male,Not Married,Urban,100K - 350K,1,2,"8,314.98"
Z08122,28 - 37,Male,Married,Urban,> 1M,0.49,0,0.00
A00978,> 60,Male,Not Married,Suburban,601K - 1M,1,1,"1,240.29"
P06239,38 - 60,Male,Not Married,Urban,100K - 350K,0.84,2,"9,551.38"
P06456,38 - 60,Female,Un-Married,Urban,351K - 600K,1,2,"8,157.19"
Z07745,28 - 37,Female,Married,Suburban,351K - 600K,1,2,"3,909.51"
Z08679,38 - 60,Female,Married,Suburban,351K - 600K,1,1,788.94
G04807,38 - 60,Female,Married,Suburban,351K - 600K,1,0,0.00
G02928,38 - 60,Female,Married,Suburban,100K - 350K,1,3,"7,402.80"
P06594,21 - 27,Female,Married,Rural,601K - 1M,1,3,"27,488.28"
P06040,28 - 37,Female,Married,Rural,351K - 600K,1,0,0.00
G03490,21 - 27,Male,Un-Married,Suburban,100K - 350K,0.6,0,0.00
Z09850,28 - 37,Male,Married,Suburban,601K - 1M,1,2,"2,902.32"
Z07633,> 60,Male,Married,Urban,351K - 600K,1,1,"3,978.99"
G02845,21 - 27,Male,Married,Urban,601K - 1M,1,2,"5,275.49"
Z08282,28 - 37,Female,Un-Married,Urban,100K - 350K,1,0,0.00
Z08787,38 - 60,Female,Married,Suburban,351K - 600K,1,1,"3,089.51"
G02764,28 - 37,Female,Un-Married,Urban,601K - 1M,0.6,5,"7,106.18"
P05217,28 - 37,Male,Married,Suburban,351K - 600K,1,3,"9,130.20"
Z09745,28 - 37,Female,Not Married,Suburban,351K - 600K,1,3,"7,600.12"
A02429,38 - 60,Male,Married,Urban,351K - 600K,1,2,"7,306.53"
A02372,38 - 60,Female,Un-Married,Urban,100K - 350K,1,3,"4,744.16"
A01483,38 - 60,Female,Married,Urban,601K - 1M,1,1,"4,398.14"
P06683,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
P06422,21 - 27,Female,Married,Urban,351K - 600K,1,0,0.00
P05390,28 - 37,Female,Married,Urban,100K - 350K,1,3,"16,700.36"
G04124,38 - 60,Female,Un-Married,Suburban,> 1M,0.19,1,"1,401.23"
P06034,28 - 37,Female,Married,Urban,601K - 1M,1,2,"6,030.17"
Z07593,21 - 27,Female,Un-Married,Urban,351K - 600K,1,1,"1,971.67"
P05960,21 - 27,Female,Married,Suburban,100K - 350K,1,0,0.00
P05921,28 - 37,Female,Un-Married,Urban,< 100K,1,0,0.00
A01857,28 - 37,Female,Married,Suburban,351K - 600K,1,0,0.00
P06755,21 - 27,Male,Un-Married,Urban,< 100K,1,1,"2,991.83"
G03895,< 21,Female,Married,Urban,601K - 1M,1,2,"2,800.73"
Z08734,< 21,Male,Not Married,Suburban,100K - 350K,1,7,"23,982.12"
Z09655,21 - 27,Female,Un-Married,Suburban,351K - 600K,1,1,361.52
A00701,28 - 37,Female,Un-Married,Suburban,351K - 600K,1,2,"4,232.38"
A00580,28 - 37,Female,Un-Married,Urban,100K - 350K,1,1,487.61
G04924,38 - 60,Female,Married,Suburban,< 100K,1,3,"15,538.09"
A01313,38 - 60,Female,Married,Suburban,351K - 600K,1,0,0.00
G04972,< 21,Female,Married,Urban,601K - 1M,1,2,"8,194.79"
P06096,> 60,Female,Married,Suburban,351K - 600K,1,1,829.16
P06667,< 21,Female,Un-Married,Suburban,351K - 600K,1,0,0.00
A00903,21 - 27,Female,Married,Urban,100K - 350K,1,1,"2,584.03"
Z08556,21 - 27,Female,Not Married,Suburban,351K - 600K,1,2,"3,871.19"
G04271,28 - 37,Male,Not Married,Urban,351K - 600K,1,5,"3,793.95"
P05199,< 21,Female,Married,Urban,601K - 1M,1,0,0.00
A02182,28 - 37,Female,Married,Urban,351K - 600K,1,1,"1,269.39"
G03115,28 - 37,Female,Not Married,Suburban,100K - 350K,1,0,0.00
G03396,< 21,Female,Not Married,Suburban,351K - 600K,1,3,"8,648.28"
Z08292,28 - 37,Male,Married,Urban,< 100K,1,0,0.00
P05515,28 - 37,Female,Un-Married,Suburban,> 1M,1,3,"5,890.21"
P05421,38 - 60,Female,Un-Married,Urban,351K - 600K,1,1,"11,567.87"
G03013,28 - 37,Male,Married,Suburban,> 1M,1,2,"1,082.12"
Z08092,38 - 60,Female,Not Married,Urban,100K - 350K,1,2,"25,225.30"
Z09390,38 - 60,Female,Not Married,Rural,100K - 350K,1,0,0.00
A00260,21 - 27,Male,Un-Married,Rural,601K - 1M,1,3,"12,101.14"
A01840,28 - 37,Female,Married,Suburban,601K - 1M,1,3,"12,199.54"
Z09890,> 60,Female,Married,Suburban,351K - 600K,1,4,"14,589.00"
P06405,< 21,Male,Married,Suburban,351K - 600K,1,3,"4,209.54"
Z09807,28 - 37,Male,Married,Suburban,> 1M,1,3,"5,126.23"
A00054,28 - 37,Male,Un-Married,Rural,< 100K,1,1,"5,275.44"
A01604,28 - 37,Female,Married,Suburban,< 100K,1,0,0.00
Z09174,28 - 37,Male,Married,Urban,351K - 600K,1,2,"11,579.08"
P06377,38 - 60,Female,Married,Suburban,351K - 600K,1,3,"16,126.78"
P06219,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
P06520,< 21,Female,Married,Suburban,100K - 350K,1,2,"14,075.28"
P05541,28 - 37,Male,Un-Married,Urban,< 100K,1,0,0.00
G03633,28 - 37,Male,Married,Suburban,601K - 1M,1,2,336.74
P05411,21 - 27,Female,Not Married,Urban,351K - 600K,1,1,"3,366.99"
G04244,38 - 60,Male,Married,Urban,351K - 600K,1,2,"6,419.38"
Z09864,38 - 60,Female,Married,Urban,351K - 600K,1,1,"3,403.24"
G03177,28 - 37,Female,Un-Married,Suburban,601K - 1M,0.44,2,"3,020.19"
G04327,28 - 37,Male,Married,Rural,100K - 350K,1,0,0.00
G04697,28 - 37,Male,Married,Urban,351K - 600K,1,1,"1,129.23"
P07276,< 21,Male,Married,Rural,351K - 600K,1,0,0.00
G02720,21 - 27,Male,Married,Suburban,351K - 600K,1,0,0.00
P05997,> 60,Female,Married,Urban,100K - 350K,0.34,0,0.00
P06915,28 - 37,Female,Not Married,Urban,351K - 600K,1,1,"4,797.46"
A00097,21 - 27,Female,Not Married,Suburban,> 1M,1,1,794.51
P06525,38 - 60,Male,Married,Suburban,< 100K,1,2,"3,111.61"
Z08279,28 - 37,Female,Not Married,Suburban,351K - 600K,1,2,"3,866.18"
A00384,21 - 27,Male,Not Married,Urban,100K - 350K,1,0,0.00
P07472,< 21,Female,Not Married,Urban,601K - 1M,1,2,"14,822.66"
P06187,38 - 60,Female,Married,Urban,351K - 600K,1,0,0.00
Z08586,38 - 60,Male,Married,Urban,601K - 1M,1,1,"3,038.35"
A00722,28 - 37,Female,Married,Urban,601K - 1M,1,0,0.00
Z07606,28 - 37,Female,Married,Urban,> 1M,0.62,3,"8,311.35"
P06169,28 - 37,Male,Married,Urban,351K - 600K,1,0,0.00
Z09536,28 - 37,Female,Un-Married,Rural,351K - 600K,1,0,0.00
A01369,38 - 60,Female,Married,Suburban,100K - 350K,0.59,0,0.00
G02620,21 - 27,Male,Married,Urban,> 1M,1,1,204.04
P07138,28 - 37,Male,Married,Suburban,< 100K,1,3,"5,462.33"
G04474,> 60,Female,Un-Married,Rural,601K - 1M,1,0,0.00
A01192,28 - 37,Male,Not Married,Suburban,100K - 350K,0.14,2,"4,535.39"
Z08642,> 60,Male,Un-Married,Suburban,601K - 1M,1,2,"2,788.87"
P06034,28 - 37,Male,Un-Married,Suburban,< 100K,1,2,"4,463.53"
A00797,> 60,Female,Married,Urban,100K - 350K,1,0,0.00
P05354,< 21,Female,Married,Suburban,< 100K,1,4,"21,290.62"
P05142,> 60,Male,Married,Rural,< 100K,0.15,2,"8,960.34"
P05216,38 - 60,Male,Not Married,Suburban,351K - 600K,1,4,"6,679.73"
Z07689,21 - 27,Male,Married,Suburban,> 1M,1,2,"1,023.45"
G04636,21 - 27,Male,Married,Urban,601K - 1M,0.03,2,"8,924.49"
P07145,< 21,Male,Not Married,Urban,601K - 1M,1,3,"6,306.68"
G04727,> 60,Female,Un-Married,Suburban,351K - 600K,1,2,"7,615.38"
G02800,21 - 27,Female,Not Married,Urban,351K - 600K,0.81,1,"3,722.53"
Z08701,28 - 37,Male,Married,Urban,< 100K,1,2,"10,623.10"
A01187,28 - 37,Female,Un-Married,Urban,351K - 600K,0.43,2,"4,011.32"
Z07699,38 - 60,Male,Un-Married,Suburban,100K - 350K,1,3,"5,823.72"
A01887,28 - 37,Female,Married,Urban,351K - 600K,1,1,"4,200.39"
Z08103,38 - 60,Female,Not Married,Suburban,351K - 600K,1,1,"1,080.55"
A01645,38 - 60,Male,Married,Suburban,351K - 600K,1,1,325.08
A00885,21 - 27,Male,Married,Urban,< 100K,1,3,"12,290.14"
G04180,< 21,Female,Married,Urban,601K - 1M,0.34,1,807.15
P06878,28 - 37,Male,Married,Suburban,601K - 1M,1,2,"13,217.20"
G03823,< 21,Female,Un-Married,Urban,< 100K,1,1,"7,271.91"
P05489,21 - 27,Female,Un-Married,Urban,100K - 350K,1,1,870.87
A01038,28 - 37,Female,Not Married,Rural,100K - 350K,1,2,"29,874.83"
P06700,21 - 27,Female,Married,Suburban,601K - 1M,0.84,3,"6,421.73"
P05669,28 - 37,Male,Not Married,Urban,351K - 600K,1,0,0.00
Z08368,21 - 27,Male,Married,Urban,100K - 350K,1,3,"4,476.88"
Z08407,28 - 37,Male,Married,Suburban,351K - 600K,1,1,"2,376.15"
G03241,28 - 37,Female,Un-Married,Urban,351K - 600K,1,2,"13,985.68"
Z09982,28 - 37,Female,Un-Married,Urban,351K - 600K,1,1,"4,423.23"
A01029,38 - 60,Male,Not Married,Urban,100K - 350K,1,2,"6,916.09"
G04492,38 - 60,Male,Un-Married,Suburban,351K - 600K,1,2,586.32
G03603,28 - 37,Female,Un-Married,Suburban,601K - 1M,1,0,0.00
G04238,21 - 27,Male,Married,Suburban,601K - 1M,1,4,"4,522.52"
Z08586,38 - 60,Male,Married,Suburban,100K - 350K,1,1,"1,406.33"
A02314,< 21,Female,Un-Married,Suburban,351K - 600K,1,1,"2,392.27"
G04857,21 - 27,Female,Married,Rural,100K - 350K,1,3,"30,910.20"
A01067,< 21,Male,Un-Married,Urban,351K - 600K,1,2,"2,636.64"
A02156,28 - 37,Male,Not Married,Suburban,< 100K,0.35,2,"3,619.26"
P05521,38 - 60,Male,Un-Married,Suburban,351K - 600K,1,5,"9,720.33"
P05652,28 - 37,Female,Married,Rural,601K - 1M,0.1,3,"6,248.81"
Z09047,38 - 60,Female,Married,Suburban,601K - 1M,0.31,1,"2,486.52"
A01018,28 - 37,Male,Married,Urban,100K - 350K,1,2,"2,366.82"
A01454,21 - 27,Female,Married,Urban,100K - 350K,1,0,0.00
A01311,38 - 60,Female,Un-Married,Urban,601K - 1M,1,0,0.00
P05114,28 - 37,Female,Un-Married,Urban,< 100K,1,2,"4,753.95"
G03921,28 - 37,Male,Married,Suburban,< 100K,0.21,2,"4,313.25"
A00067,< 21,Male,Married,Urban,601K - 1M,1,1,"1,027.20"
A02470,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
G04873,> 60,Female,Un-Married,Suburban,> 1M,1,1,"2,979.52"
Z08057,21 - 27,Female,Married,Urban,601K - 1M,1,2,"9,746.99"
G03365,28 - 37,Male,Married,Rural,351K - 600K,0.25,1,"8,175.18"
G02698,> 60,Female,Married,Urban,< 100K,1,1,"2,470.46"
G04315,38 - 60,Male,Married,Suburban,351K - 600K,1,1,"2,026.39"
Z09317,38 - 60,Male,Married,Urban,351K - 600K,1,0,0.00
P06564,21 - 27,Male,Married,Urban,351K - 600K,0.46,2,"4,179.53"
P07455,28 - 37,Female,Married,Rural,100K - 350K,1,1,"8,167.68"
A00200,38 - 60,Female,Married,Suburban,100K - 350K,0.68,1,"1,703.54"
P05759,28 - 37,Female,Not Married,Urban,351K - 600K,1,3,"18,202.48"
A01627,< 21,Female,Married,Urban,601K - 1M,1,2,"10,169.96"
A01667,38 - 60,Male,Un-Married,Urban,< 100K,1,1,626.96
A01697,21 - 27,Female,Un-Married,Urban,351K - 600K,1,1,"4,271.25"
A00987,28 - 37,Male,Un-Married,Suburban,601K - 1M,0.24,2,"5,480.67"
P07348,21 - 27,Female,Un-Married,Rural,100K - 350K,1,1,"5,207.60"
G04912,> 60,Female,Married,Urban,351K - 600K,1,2,"2,513.49"
Z09385,> 60,Male,Married,Urban,< 100K,1,1,"3,659.93"
P07370,28 - 37,Female,Married,Urban,< 100K,1,0,0.00
Z08328,28 - 37,Male,Not Married,Urban,100K - 350K,1,2,"4,686.22"
G03882,28 - 37,Female,Not Married,Urban,351K - 600K,1,3,"13,522.17"
G04032,38 - 60,Male,Married,Urban,601K - 1M,1,1,"2,736.94"
Z09482,28 - 37,Male,Un-Married,Suburban,351K - 600K,0.9,2,404.60
P06122,28 - 37,Male,Un-Married,Suburban,351K - 600K,1,2,"4,206.00"
G03830,38 - 60,Female,Not Married,Suburban,351K - 600K,1,0,0.00
P07246,38 - 60,Female,Not Married,Urban,351K - 600K,1,0,0.00
P06017,> 60,Male,Un-Married,Suburban,601K - 1M,1,3,"9,081.62"
G02872,38 - 60,Male,Not Married,Suburban,351K - 600K,1,0,0.00
A02382,38 - 60,Female,Un-Married,Rural,601K - 1M,0.1,0,0.00
P07012,> 60,Male,Not Married,Suburban,601K - 1M,0.52,3,"5,376.82"
Z09222,< 21,Male,Married,Rural,601K - 1M,1,1,"5,533.52"
G03590,28 - 37,Female,Not Married,Suburban,601K - 1M,1,1,"1,503.60"
Z07792,< 21,Male,Married,Urban,100K - 350K,1,3,"26,805.78"
P05798,28 - 37,Female,Un-Married,Urban,351K - 600K,1,1,"8,312.89"
Z08594,28 - 37,Female,Married,Urban,100K - 350K,0.65,0,0.00
A01646,28 - 37,Female,Married,Urban,351K - 600K,1,0,0.00
P07063,< 21,Male,Married,Urban,< 100K,1,3,"11,505.45"
G04192,28 - 37,Male,Un-Married,Suburban,351K - 600K,1,2,399.56
A01041,21 - 27,Female,Un-Married,Urban,100K - 350K,1,1,"3,836.37"
G02845,> 60,Male,Married,Urban,351K - 600K,1,2,"10,161.12"
A02463,28 - 37,Male,Un-Married,Suburban,351K - 600K,1,5,"9,724.42"
Z09251,< 21,Female,Married,Suburban,351K - 600K,1,1,"1,370.72"
A00401,21 - 27,Female,Not Married,Suburban,< 100K,0.7,0,0.00
Z09866,21 - 27,Male,Not Married,Suburban,601K - 1M,1,0,0.00
G03968,38 - 60,Male,Married,Suburban,100K - 350K,1,3,"17,165.40"
G02784,< 21,Female,Un-Married,Urban,601K - 1M,1,3,"3,802.49"
Z08519,38 - 60,Female,Un-Married,Suburban,351K - 600K,0.2,1,"5,483.28"
P06174,> 60,Female,Married,Suburban,351K - 600K,1,2,"3,449.91"
P07416,28 - 37,Female,Married,Suburban,601K - 1M,0.95,4,"7,920.25"
Z09267,28 - 37,Female,Married,Suburban,351K - 600K,1,2,"2,187.09"
A01243,38 - 60,Female,Un-Married,Rural,< 100K,1,1,"3,692.38"
A00879,28 - 37,Female,Married,Suburban,351K - 600K,1,4,"6,105.84"
Z08263,< 21,Male,Married,Suburban,> 1M,0.82,2,"1,380.67"
G04255,28 - 37,Male,Married,Urban,351K - 600K,1,3,"6,858.07"
G03343,38 - 60,Male,Un-Married,Urban,351K - 600K,1,2,"2,579.24"
P05047,28 - 37,Male,Married,Urban,601K - 1M,1,2,"1,059.99"
G03755,38 - 60,Male,Married,Urban,100K - 350K,0.42,1,"2,274.49"
G04552,38 - 60,Male,Un-Married,Urban,< 100K,1,3,"19,880.06"
P07142,> 60,Male,Married,Suburban,601K - 1M,1,0,0.00
Z08791,< 21,Female,Un-Married,Rural,100K - 350K,1,0,0.00
P06454,28 - 37,Female,Married,Suburban,< 100K,1,1,"6,642.03"
Z09255,21 - 27,Male,Married,Urban,601K - 1M,1,1,"2,485.61"
Z09407,21 - 27,Male,Not Married,Suburban,100K - 350K,0.8,1,"1,620.05"
A01200,28 - 37,Female,Not Married,Suburban,< 100K,1,4,"11,008.29"
A01323,38 - 60,Female,Married,Suburban,601K - 1M,1,0,0.00
Z08862,38 - 60,Female,Married,Suburban,601K - 1M,1,1,981.50
G03344,38 - 60,Male,Married,Suburban,100K - 350K,0.47,3,"1,829.72"
P06590,28 - 37,Female,Married,Rural,351K - 600K,1,1,"2,347.79"
A02465,38 - 60,Female,Married,Suburban,100K - 350K,1,2,"3,083.68"
Z08705,38 - 60,Female,Not Married,Suburban,< 100K,0.83,0,0.00
Z09647,< 21,Male,Married,Suburban,100K - 350K,0.33,2,"2,943.70"
Z07782,28 - 37,Female,Not Married,Urban,601K - 1M,1,1,"2,130.80"
P06655,> 60,Male,Married,Suburban,100K - 350K,1,1,"1,206.10"
A01669,21 - 27,Male,Married,Suburban,351K - 600K,1,3,"3,111.54"
P06876,28 - 37,Female,Married,Urban,351K - 600K,1,3,"11,945.05"
A02487,38 - 60,Female,Un-Married,Suburban,351K - 600K,1,1,844.39
A01401,28 - 37,Female,Married,Urban,< 100K,0.03,0,0.00
P06619,38 - 60,Male,Un-Married,Suburban,100K - 350K,1,0,0.00
A00655,21 - 27,Male,Married,Rural,601K - 1M,1,0,0.00
A02482,< 21,Female,Married,Suburban,601K - 1M,1,1,464.11
G03628,28 - 37,Male,Un-Married,Urban,601K - 1M,1,0,0.00
G04606,28 - 37,Female,Un-Married,Suburban,351K - 600K,1,1,"1,179.27"
P05945,21 - 27,Female,Not Married,Urban,351K - 600K,1,1,"3,867.68"
G04676,21 - 27,Female,Un-Married,Urban,351K - 600K,0.58,1,"5,564.37"
G04996,28 - 37,Male,Married,Suburban,351K - 600K,0.52,2,"6,398.42"
A01687,38 - 60,Female,Married,Urban,100K - 350K,1,0,0.00
Z09372,> 60,Female,Not Married,Urban,< 100K,1,1,"4,873.50"
Z09098,< 21,Female,Un-Married,Urban,601K - 1M,1,3,537.12
P06186,38 - 60,Male,Not Married,Urban,351K - 600K,0.77,2,"4,964.42"
P06789,< 21,Male,Not Married,Suburban,601K - 1M,1,6,"4,951.75"
Z09092,28 - 37,Male,Not Married,Suburban,< 100K,1,0,0.00
P07462,28 - 37,Female,Not Married,Suburban,100K - 350K,1,2,"11,353.56"
P07127,21 - 27,Female,Married,Urban,601K - 1M,1,1,"2,141.74"
P06436,38 - 60,Female,Un-Married,Urban,351K - 600K,1,1,"4,809.51"
